hotel_name	location	room_type	features	original_price	discounted_price
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 2 Single Beds, River View	River view | Sleeps 3 | High-speed internet access | 35 sq m | 2 Single Beds | Collect and Redeem	€309	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room	River view | Sleeps 2 | High-speed internet access | 35 sq m | 1 Single Bed | Collect and Redeem	€309	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 2 Single Beds, Bay View	Bay view | Sleeps 3 | High-speed internet access | 35 sq m | 2 Single Beds | Collect and Redeem	€324	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 2 Single Beds, River View (High Floor)	River view | Sleeps 2 | High-speed internet access | 35 sq m | 2 Single Beds | Collect and Redeem	€359	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Premium Room, 2 Single Beds, Bay View (Mid Floor)	Bay view | Sleeps 3 | High-speed internet access | 42 sq m | 2 Single Beds | Collect and Redeem	€384	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 2 Single Beds, Business Lounge Access, River View (Japanese)	River view | Sleeps 2 | High-speed internet access | 2 Single Beds | Collect and Redeem	€408	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 2 Single Beds, Business Lounge Access, River View	River view | Sleeps 2 | High-speed internet access | 35 sq m | 2 Single Beds | Collect and Redeem	€408	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 1 King Bed, Business Lounge Access, River View	River view | Sleeps 2 | High-speed internet access | 35 sq m | 1 King Bed | Collect and Redeem	€408	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 2 Single Beds, Business Lounge Access, Bay View (Japanese)	Bay view | Sleeps 2 | High-speed internet access | 35 sq m | 2 Single Beds | Collect and Redeem	€423	
InterContinental Tokyo Bay, an IHG Hotel	1-16-2 Kaigan, Minato, Tokyo, Tokyo-to, 105-8576	Classic Room, 1 King Bed, Business Lounge Access, Bay View (Japanese)	River view | Sleeps 2 | High-speed internet access | 1 King Bed | Collect and Redeem	€423	
